ADQ_ID,ROI,FixTime,EnterCount,RegressionCount
n16q2,KW_n2q2_4,1.956,1,0
n16q2,KW_n2q2_1,2.3229999999999995,1,0
n16q3,KW_n2q3_1,1.3439999999999999,3,2
n16q3,INST_n2q3_2,2.689999999999998,2,1
n16q3,INST_n2q3_1,1.589,1,0
n16q3,BG_n2q3,1.4670000000000005,6,5
n16q3,KW_n2q3_2,1.099,2,1
n16q3,KW_n2q3_3,1.8329999999999997,4,3
n16q4,INST_n2q4_2b,1.467,2,1
n16q4,KW_n2q4_1,22.00099999999999,4,3
n16q4,INST_n2q4_1,0.366,1,0
n16q4,BG_n2q4,0.733,4,3
n16q4,INST_n2q4_2a,1.955,1,0
n16q5,BG_n2q5,2.567,5,4
n16q5,INST_n2q5_1a,1.222,2,1
n16q5,INST_n2q5_1c,1.222,3,2
n16q5,INST_n2q5_1b,1.1,1,0
n17q1,KW_n2q1_4,1.7099999999999997,2,1
n17q1,INST_n2q1_1,1.4690000000000003,1,0
n17q1,KW_n2q1_1,2.9339999999999993,1,0
n17q1,BG_n2q1,0.729,4,3
n17q1,KW_n2q1_2,1.9599999999999997,3,2
n17q1,KW_n2q1_3,1.3449999999999998,1,0
n17q2,KW_n2q2_3,1.7109999999999999,2,1
n17q2,KW_n2q2_2,1.222,1,0
n17q2,INST_n2q2_1,0.856,1,0
n17q2,BG_n2q2,0.244,1,0
n17q2,KW_n2q2_4,2.5679999999999996,1,0
n17q2,KW_n2q2_1,2.688999999999999,1,0
n17q3,KW_n2q3_1,1.467,2,1
n17q3,INST_n2q3_2,1.7109999999999999,3,2
n17q3,INST_n2q3_1,1.5889999999999997,1,0
n17q3,BG_n2q3,1.8339999999999999,5,4
n17q3,KW_n2q3_2,2.078,3,2
n17q3,KW_n2q3_3,1.222,4,3
n17q4,INST_n2q4_2b,1.222,1,0
n17q4,KW_n2q4_1,24.198999999999995,4,3
n17q4,INST_n2q4_1,0.245,1,0
n17q4,BG_n2q4,0.368,3,2
n17q4,INST_n2q4_2a,2.1999999999999993,1,0
n17q5,BG_n2q5,0.979,4,3
n17q5,INST_n2q5_1a,0.733,1,0
n17q5,INST_n2q5_1c,2.8099999999999996,3,2
n17q5,INST_n2q5_1b,1.589,2,1
n18q1,KW_n2q1_4,1.1,1,0
n18q1,INST_n2q1_1,0.613,1,0
n18q1,KW_n2q1_1,1.4679999999999997,1,0
n18q1,BG_n2q1,0.244,2,1
n18q1,KW_n2q1_2,2.5660000000000003,2,1
n18q1,KW_n2q1_3,1.468,1,0
n18q2,KW_n2q2_3,0.855,1,0
n18q2,KW_n2q2_2,1.956,1,0
n18q2,INST_n2q2_1,1.7120000000000002,1,0
n18q2,BG_n2q2,0.489,1,0
n18q2,KW_n2q2_4,3.666999999999999,1,0
n18q2,KW_n2q2_1,4.278999999999999,1,0
n18q3,KW_n2q3_1,0.854,3,2
n18q3,INST_n2q3_2,2.2,1,0
n18q3,INST_n2q3_1,1.3439999999999999,2,1
n18q3,BG_n2q3,1.7129999999999996,7,6
n18q3,KW_n2q3_2,0.978,2,1
n18q3,KW_n2q3_3,1.1,4,3
