ADQ_ID,ROI,FixTime,EnterCount,RegressionCount,Group
m7q5,INST_n2q5_1a,2.811,8,7,mci
m7q5,INST_n2q5_1c,3.4239999999999995,7,6,mci
m7q5,INST_n2q5_1b,4.6439999999999975,7,6,mci
m8q1,KW_n2q1_4,3.055999999999999,5,4,mci
m8q1,INST_n2q1_1,4.772999999999999,9,8,mci
m8q1,KW_n2q1_1,11.364999999999991,18,17,mci
m8q1,BG_n2q1,15.770999999999985,26,25,mci
m8q1,KW_n2q1_2,4.525,10,9,mci
m8q1,KW_n2q1_3,3.055999999999999,4,3,mci
m8q2,KW_n2q2_3,4.7679999999999945,6,5,mci
m8q2,KW_n2q2_2,6.109999999999998,8,7,mci
m8q2,INST_n2q2_1,1.955,3,2,mci
m8q2,BG_n2q2,5.4990000000000006,12,11,mci
m8q2,KW_n2q2_4,5.377,7,6,mci
m8q2,KW_n2q2_1,6.600999999999999,12,11,mci
m8q3,KW_n2q3_1,2.9320000000000013,7,6,mci
m8q3,INST_n2q3_2,3.5429999999999984,4,3,mci
m8q3,INST_n2q3_1,1.957,3,2,mci
m8q3,BG_n2q3,2.935,10,9,mci
m8q3,KW_n2q3_2,5.4999999999999964,10,9,mci
m8q3,KW_n2q3_3,4.889999999999999,6,5,mci
m8q4,INST_n2q4_2b,5.62,6,5,mci
m8q4,KW_n2q4_1,23.099,11,10,mci
m8q4,INST_n2q4_1,3.18,7,6,mci
m8q4,BG_n2q4,6.235999999999999,18,17,mci
m8q4,INST_n2q4_2a,11.854999999999992,14,13,mci
m8q5,BG_n2q5,8.557999999999996,17,16,mci
m8q5,INST_n2q5_1a,3.055,5,4,mci
m8q5,INST_n2q5_1c,2.321,5,4,mci
m8q5,INST_n2q5_1b,8.432999999999998,10,9,mci
m9q1,KW_n2q1_4,3.669,7,6,mci
m9q1,INST_n2q1_1,3.666999999999999,4,3,mci
m9q1,KW_n2q1_1,7.090999999999998,9,8,mci
m9q1,BG_n2q1,5.745,18,17,mci
m9q1,KW_n2q1_2,5.620999999999998,10,9,mci
m9q1,KW_n2q1_3,1.589,4,3,mci
m9q2,KW_n2q2_3,2.443999999999999,4,3,mci
m9q2,KW_n2q2_2,5.99,10,9,mci
m9q2,INST_n2q2_1,7.210000000000001,4,3,mci
m9q2,BG_n2q2,4.160999999999999,14,13,mci
m9q2,KW_n2q2_4,4.763999999999999,6,5,mci
m9q2,KW_n2q2_1,8.308999999999994,10,9,mci
m9q3,KW_n2q3_1,0.733,2,1,mci
m9q3,INST_n2q3_2,2.688,3,2,mci
m9q3,INST_n2q3_1,3.788999999999999,2,1,mci
m9q3,BG_n2q3,2.443999999999999,5,4,mci
m9q3,KW_n2q3_2,1.222999999999999,4,3,mci
m9q3,KW_n2q3_3,1.7110000000000007,7,6,mci
m9q4,INST_n2q4_2b,5.010999999999998,5,4,mci
m9q4,KW_n2q4_1,12.710999999999991,6,5,mci
m9q4,INST_n2q4_1,2.8119999999999994,5,4,mci
m9q4,BG_n2q4,3.791,8,7,mci
m9q4,INST_n2q4_2a,6.5989999999999975,8,7,mci
m9q5,BG_n2q5,12.467999999999993,18,17,mci
m9q5,INST_n2q5_1a,2.566,5,4,mci
m9q5,INST_n2q5_1c,4.399999999999999,6,5,mci
m9q5,INST_n2q5_1b,3.4219999999999997,9,8,mci
m6q1,KW_n2q1_4,2.6889999999999974,7,6,mci
m6q1,INST_n2q1_1,6.236999999999998,4,3,mci
m6q1,KW_n2q1_1,1.221,2,1,mci
m6q1,BG_n2q1,3.9430000000000014,16,15,mci
m6q1,KW_n2q1_2,1.711,5,4,mci
m6q1,KW_n2q1_3,3.0779999999999994,3,2,mci
m6q2,KW_n2q2_3,0.611,1,0,mci
m6q2,KW_n2q2_2,2.1989999999999994,4,3,mci
m6q2,INST_n2q2_1,2.5669999999999997,3,2,mci
m6q2,BG_n2q2,0.245,1,0,mci
m6q2,KW_n2q2_4,3.788999999999999,4,3,mci
m6q2,KW_n2q2_1,1.955,3,2,mci
m6q3,KW_n2q3_1,0.734,2,1,mci
m6q3,INST_n2q3_2,6.112,2,1,mci
m6q3,INST_n2q3_1,2.2,1,0,mci
m6q3,BG_n2q3,0.245,1,0,mci
m6q3,KW_n2q3_2,1.4660000000000009,3,2,mci
m6q3,KW_n2q3_3,2.8099999999999987,2,1,mci
m6q4,INST_n2q4_2b,2.5669999999999997,5,4,mci
m6q4,KW_n2q4_1,2.5669999999999997,2,1,mci
m6q4,INST_n2q4_1,0.489,1,0,mci
m6q4,BG_n2q4,2.8119999999999994,11,10,mci
m6q4,INST_n2q4_2a,19.555,12,11,mci
m6q5,BG_n2q5,1.834,7,6,mci
m6q5,INST_n2q5_1a,1.101,1,0,mci
m6q5,INST_n2q5_1c,6.966999999999999,7,6,mci
m6q5,INST_n2q5_1b,1.343,2,1,mci
ad10q1,KW_n2q1_4,5.502999999999999,10,9,ad
ad10q1,INST_n2q1_1,3.3089999999999997,5,4,ad
ad10q1,KW_n2q1_1,4.77,8,7,ad
ad10q1,BG_n2q1,7.821000000000001,25,24,ad
ad10q1,KW_n2q1_2,7.091999999999997,14,13,ad
ad10q1,KW_n2q1_3,6.476999999999998,7,6,ad
ad10q2,KW_n2q2_3,4.156999999999999,6,5,ad
ad10q2,KW_n2q2_2,3.546,7,6,ad
ad10q2,INST_n2q2_1,5.256999999999999,3,2,ad
ad10q2,BG_n2q2,3.910999999999999,13,12,ad
ad10q2,KW_n2q2_4,3.546999999999999,5,4,ad
ad10q2,KW_n2q2_1,6.109999999999998,6,5,ad
ad10q3,KW_n2q3_1,2.4449999999999994,4,3,ad
ad10q3,INST_n2q3_2,4.032999999999998,3,2,ad
ad10q3,INST_n2q3_1,1.467,2,1,ad
ad10q3,BG_n2q3,4.279999999999998,10,9,ad
ad10q3,KW_n2q3_2,2.565999999999999,5,4,ad
