session_id,rr_2d_xy,rr_2d_xy_normalized,rr_1d_x,rr_1d_x_normalized,det_2d_xy,det_2d_xy_normalized,det_1d_x,det_1d_x_normalized,ent_2d_xy,ent_2d_xy_normalized,ent_1d_x,ent_1d_x_normalized
m11q3,0.03782,0.203,0.060005,0.2833,0.889145,0.9344,0.802038,0.8572,2.311449,0.6873,1.827965,0.577
m11q4,0.010532,0.0565,0.039178,0.185,0.738511,0.7761,0.619976,0.6626,1.86269,0.5538,1.416026,0.447
m11q5,0.016331,0.0876,0.046036,0.2173,0.768116,0.8072,0.588689,0.6291,1.098218,0.3265,1.047048,0.3305
m12q1,0.02782,0.1493,0.057439,0.2712,0.79602,0.8365,0.738554,0.7893,1.725426,0.513,1.750742,0.5526
m12q2,0.041875,0.2247,0.066875,0.3157,0.873134,0.9176,0.738318,0.7891,2.606022,0.7748,2.039141,0.6436
m12q3,0.024838,0.1333,0.042278,0.1996,0.765957,0.8049,0.664062,0.7097,1.756665,0.5223,1.327365,0.419
m12q4,0.013856,0.0744,0.049334,0.2329,0.740806,0.7785,0.6606,0.706,1.485586,0.4417,1.491457,0.4708
m12q5,0.041195,0.2211,0.108194,0.5108,0.912088,0.9585,0.740586,0.7915,1.640224,0.4877,1.300618,0.4105
m13q1,0.031913,0.1713,0.089318,0.4217,0.81227,0.8536,0.793512,0.848,2.156734,0.6413,2.288579,0.7224
m13q2,0.024675,0.1324,0.055463,0.2618,0.720354,0.757,0.681102,0.7279,1.644854,0.4891,1.537642,0.4853
m13q3,0.042388,0.2275,0.094723,0.4472,0.795918,0.8364,0.817352,0.8735,1.341155,0.3988,1.360384,0.4294
m13q4,0.040277,0.2161,0.095055,0.4488,0.821527,0.8633,0.836515,0.894,2.257149,0.6711,2.322337,0.733
m13q5,0.063712,0.3419,0.109264,0.5158,0.78744,0.8275,0.802817,0.858,2.141614,0.6368,2.289475,0.7227
m14q1,0.053354,0.2863,0.089222,0.4212,0.889708,0.935,0.886158,0.9471,2.580253,0.7672,2.480729,0.783
m14q2,0.077553,0.4162,0.105001,0.4957,0.958049,1.0,0.935829,1.0,3.820977,1.0,3.561459,1.0
m14q3,0.05142,0.2759,0.077469,0.3657,0.847539,0.8907,0.777689,0.8311,2.234942,0.6645,2.062183,0.6509
m14q4,0.027159,0.1458,0.070902,0.3347,0.724189,0.761,0.670621,0.7167,1.780157,0.5293,1.895939,0.5984
m14q5,0.040404,0.2168,0.070707,0.3338,0.772727,0.812,0.733766,0.7842,1.902683,0.5657,1.651087,0.5212
m15q1,0.060568,0.325,0.144016,0.6799,0.896503,0.9421,0.909085,0.9716,2.601363,0.7735,2.671207,0.8431
m15q2,0.025359,0.1361,0.066359,0.3133,0.782899,0.8227,0.802549,0.8577,2.084798,0.6199,1.89487,0.5981
m15q3,0.032465,0.1742,0.056565,0.267,0.81058,0.8518,0.727718,0.7777,2.198173,0.6536,2.008669,0.634
m15q4,0.078824,0.423,0.137672,0.6499,0.843851,0.8868,0.850256,0.9087,2.360646,0.7019,2.47303,0.7806
m15q5,0.040123,0.2153,0.068287,0.3224,0.884615,0.9296,0.79661,0.8514,2.69897,0.8025,2.03017,0.6408
m16q1,0.071499,0.3837,0.167298,0.7898,0.850041,0.8933,0.904563,0.9667,2.602948,0.7739,2.699534,0.8521
m16q2,0.023558,0.1264,0.044344,0.2093,0.759358,0.798,0.633523,0.6771,1.904646,0.5663,1.749389,0.5522
m16q3,0.030497,0.1637,0.04118,0.1944,0.727545,0.7646,0.629712,0.673,1.550917,0.4611,1.243741,0.3926
m16q4,0.020368,0.1093,0.044438,0.2098,0.72612,0.7631,0.667571,0.7134,1.741734,0.5179,1.816864,0.5735
m16q5,0.049554,0.2659,0.08341,0.3938,0.838509,0.8812,0.793358,0.8479,2.392277,0.7113,1.785232,0.5635
m17q1,0.030937,0.166,0.059687,0.2818,0.757576,0.7961,0.675393,0.7218,1.634931,0.4861,1.776307,0.5607
m17q2,0.03642,0.1955,0.078044,0.3684,0.857143,0.9008,0.846667,0.9048,1.182966,0.3517,2.018442,0.6371
m17q3,0.047009,0.2523,0.052926,0.2499,0.811189,0.8525,0.701863,0.7501,1.645355,0.4892,1.626309,0.5133
m17q4,0.020716,0.1112,0.044967,0.2123,0.70945,0.7455,0.638726,0.6826,1.554557,0.4622,1.545432,0.4878
m17q5,0.030404,0.1632,0.080383,0.3795,0.780822,0.8206,0.668394,0.7143,0.721928,0.2146,1.242452,0.3922
m18q1,0.046593,0.25,0.078892,0.3724,0.859691,0.9034,0.819522,0.8758,2.496623,0.7423,2.289121,0.7225
m18q2,0.043569,0.2338,0.075407,0.356,0.866739,0.9108,0.808141,0.8637,2.658535,0.7905,2.20358,0.6955
m18q3,0.084673,0.4544,0.099341,0.469,0.941025,0.9889,0.865536,0.925,3.222958,0.9583,3.113679,0.9828
m18q4,0.11035,0.5922,0.183225,0.865,0.847046,0.8901,0.892172,0.9535,2.364206,0.7029,2.747744,0.8673
m18q5,0.022445,0.1204,0.051109,0.2413,0.759036,0.7977,0.613757,0.6559,1.021455,0.3037,1.047273,0.3306
m19q1,0.018781,0.1008,0.048698,0.2299,0.699115,0.7347,0.672355,0.7186,2.051906,0.6101,1.838199,0.5802
m19q2,0.024421,0.1311,0.051901,0.245,0.671743,0.7059,0.644904,0.6892,1.590123,0.4728,1.823816,0.5757
m19q3,0.030767,0.1651,0.057669,0.2723,0.671498,0.7057,0.783505,0.8373,1.394906,0.4147,2.207983,0.6969
m19q4,0.081302,0.4363,0.133835,0.6318,0.859635,0.9034,0.889324,0.9504,2.519837,0.7492,2.629135,0.8299
m19q5,0.02611,0.1401,0.049109,0.2318,0.826715,0.8688,0.708253,0.7569,1.84271,0.5479,1.839427,0.5806
m2q1,0.062146,0.3335,0.10334,0.4879,0.909168,0.9554,0.909807,0.9723,2.96577,0.8818,2.741215,0.8652
m2q2,0.021557,0.1157,0.060981,0.2879,0.861298,0.9051,0.84658,0.9048,2.672304,0.7945,2.458583,0.776
m2q3,0.040426,0.2169,0.083622,0.3948,0.869379,0.9136,0.849896,0.9083,2.577473,0.7664,2.444897,0.7717
m2q4,0.061603,0.3306,0.121006,0.5713,0.822347,0.8642,0.85522,0.914,2.321778,0.6903,2.423188,0.7649
m2q5,0.027811,0.1492,0.122174,0.5768,0.679144,0.7137,0.8028,0.858,1.384566,0.4117,2.066516,0.6523
m20q1,0.043006,0.2308,0.102198,0.4825,0.847527,0.8907,0.830058,0.8871,2.336077,0.6946,2.205183,0.6961
m20q2,0.021746,0.1167,0.057899,0.2733,0.763265,0.8021,0.738375,0.7891,2.149884,0.6392,2.153261,0.6797
m20q3,0.025714,0.138,0.05551,0.2621,0.793651,0.834,0.632353,0.6758,0.905587,0.2693,0.887853,0.2802
m20q4,0.019637,0.1054,0.050295,0.2374,0.766092,0.8051,0.713982,0.763,1.878548,0.5585,2.090015,0.6597
m20q5,0.040277,0.2161,0.076263,0.36,0.828179,0.8703,0.713249,0.7623,2.01715,0.5998,2.050526,0.6472
m3q1,0.035559,0.1908,0.08395,0.3963,0.825119,0.8671,0.83165,0.8888,2.11992,0.6303,2.266937,0.7155
m3q2,0.016747,0.0899,0.048028,0.2267,0.698347,0.7339,0.688761,0.7361,0.887829,0.264,1.241846,0.392
m3q3,0.032527,0.1746,0.050793,0.2398,0.871921,0.9163,0.785489,0.8395,1.564196,0.4651,1.641995,0.5183
m3q4,0.073733,0.3957,0.152788,0.7213,0.801764,0.8426,0.858928,0.918,2.163156,0.6432,2.544121,0.803
m3q5,0.030816,0.1654,0.070747,0.334,0.788732,0.8289,0.769939,0.8228,1.72852,0.5139,1.988827,0.6278
m4q1,0.053511,0.2872,0.110044,0.5195,0.79402,0.8344,0.764136,0.8166,1.828292,0.5436,1.933357,0.6103
m4q2,0.019468,0.1045,0.0595,0.2809,0.742964,0.7808,0.800491,0.8555,1.906126,0.5667,1.983171,0.626
m4q3,0.045722,0.2454,0.071978,0.3398,0.70297,0.7387,0.72327,0.773,1.836592,0.5461,2.586888,0.8165
m4q4,0.068696,0.3687,0.171493,0.8096,0.786461,0.8265,0.844577,0.9026,1.934847,0.5753,2.322497,0.7331
m4q5,0.026297,0.1411,0.075055,0.3543,0.809028,0.8502,0.770073,0.823,1.694555,0.5038,1.806363,0.5702
m5q1,0.027264,0.1463,0.060228,0.2843,0.726608,0.7636,0.72998,0.7801,1.796041,0.534,1.918453,0.6055
m5q2,0.0228,0.1224,0.05035,0.2377,0.769737,0.8089,0.733863,0.7843,1.804539,0.5365,1.857057,0.5862
m5q3,0.040466,0.2172,0.067901,0.3206,0.830508,0.8728,0.787879,0.842,1.645711,0.4893,1.809786,0.5712
m5q4,0.065364,0.3508,0.119762,0.5654,0.785611,0.8256,0.783822,0.8377,2.209557,0.657,2.344452,0.74
m5q5,0.036133,0.1939,0.077637,0.3665,0.810811,0.8521,0.748428,0.7999,2.078492,0.618,1.84188,0.5814
m6q1,0.021614,0.116,0.059637,0.2815,0.740468,0.7781,0.701333,0.7495,1.692553,0.5032,1.625208,0.513
m6q2,0.011949,0.0641,0.045124,0.213,0.673525,0.7078,0.60988,0.6518,1.497739,0.4453,1.374584,0.4339
m6q3,0.044138,0.2369,0.063603,0.3003,0.753846,0.7922,0.669039,0.715,1.861298,0.5534,1.410763,0.4453
m6q4,0.015308,0.0822,0.061913,0.2923,0.702712,0.7385,0.735313,0.7858,1.686179,0.5013,1.832394,0.5784
m6q5,0.021315,0.1144,0.061043,0.2882,0.778723,0.8183,0.658247,0.7035,1.357793,0.4037,1.588131,0.5013
m7q1,0.01393,0.0748,0.057158,0.2698,0.707965,0.744,0.705967,0.7545,1.62647,0.4836,1.734657,0.5475
m7q2,0.02242,0.1203,0.055899,0.2639,0.710879,0.747,0.670054,0.7161,1.379807,0.4103,1.568222,0.495
m7q3,0.023717,0.1273,0.050988,0.2407,0.764128,0.803,0.744,0.7951,1.706901,0.5075,1.622274,0.5121
m7q4,0.01168,0.0627,0.056349,0.266,0.77258,0.8119,0.731717,0.782,1.90679,0.5669,1.800244,0.5682
m7q5,0.017522,0.094,0.051304,0.2422,0.794344,0.8348,0.65935,0.7047,1.657942,0.493,1.508279,0.4761
m8q1,0.01492,0.0801,0.052633,0.2485,0.712693,0.749,0.704757,0.7532,1.810409,0.5383,1.690731,0.5337
m8q2,0.022414,0.1203,0.059232,0.2796,0.841144,0.8839,0.751127,0.8027,2.525197,0.7508,1.917807,0.6053
m8q3,0.035654,0.1913,0.05953,0.281,0.776186,0.8157,0.749062,0.8005,2.24083,0.6663,2.203939,0.6957
m8q4,0.039628,0.2127,0.080691,0.3809,0.831478,0.8738,0.806682,0.8621,2.306542,0.6858,2.280599,0.7199
m8q5,0.021253,0.1141,0.067081,0.3167,0.784091,0.824,0.732673,0.783,2.278908,0.6776,1.927375,0.6084
m9q1,0.024529,0.1316,0.069429,0.3278,0.74773,0.7858,0.691979,0.7395,1.717295,0.5106,1.913765,0.6041
m9q2,0.019317,0.1037,0.045568,0.2151,0.745098,0.783,0.638107,0.682,2.225259,0.6616,1.738053,0.5486
m9q3,0.0184,0.0987,0.046,0.2172,0.75,0.7882,0.634783,0.6784,1.221048,0.3631,1.406344,0.4439
m9q4,0.024854,0.1334,0.063467,0.2996,0.785853,0.8258,0.74892,0.8004,1.841741,0.5476,1.999679,0.6312
m9q5,0.016464,0.0884,0.050555,0.2387,0.792157,0.8325,0.733078,0.7835,1.552036,0.4615,2.102482,0.6636
m6q1,0.037438,0.2009,0.074922,0.3537,0.826947,0.869,0.804818,0.8601,1.889276,0.5617,1.758231,0.555
m6q2,0.025992,0.1395,0.047495,0.2242,0.745455,0.7834,0.61194,0.654,0.982603,0.2922,1.152472,0.3638
m6q3,0.060609,0.3253,0.08078,0.3814,0.878694,0.9234,0.845974,0.9041,3.32304,0.988,2.194242,0.6926
m6q4,0.023233,0.1247,0.045375,0.2142,0.580827,0.6104,0.60539,0.647,1.498399,0.4455,1.395651,0.4405
m6q5,0.030612,0.1643,0.041667,0.1967,0.731481,0.7687,0.571429,0.6107,0.844214,0.251,1.427887,0.4507
